zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.0986122886681098,4.2626798770413155,7.244941546337007
0,0,0,1,1.3862943611198906,4.61512051684126,8.229777750081887
0,0,1,0,1.6094379124341003,4.948759890378168,7.534228326274089
1,0,0,0,1.3862943611198906,5.313205979041787,8.412054873292933
0,0,0,1,1.0986122886681098,4.382026634673881,8.461891875631148
0,1,0,0,1.0986122886681098,4.143134726391533,7.170888478512505
0,0,0,1,0.6931471805599453,3.367295829986474,8.033009498596668
0,0,1,0,1.0986122886681098,3.8066624897703196,7.244941546337007
0,0,0,1,1.3862943611198906,5.303304908059076,7.893945138235959
0,1,0,0,0.6931471805599453,3.912023005428146,7.741099090035366
1,0,0,0,0.6931471805599453,3.828641396489095,7.719129840906732
0,1,0,0,1.0986122886681098,3.8918202981106265,6.90875477931522
1,0,0,0,1.0986122886681098,4.356708826689592,8.160803920954665
1,0,0,0,1.3862943611198906,4.8283137373023015,7.696667081526462
0,0,0,1,0.6931471805599453,3.4339872044851463,7.779466967458324
0,0,1,0,1.0986122886681098,4.795790545596741,8.366602832783736
0,0,0,1,1.3862943611198906,4.30406509320417,8.160803920954665
